id,metodo_pago,monto,fecha_pago,id_socio,id_membresia
109,tarjeta,480.0,2024-11-24 08:52:11,142,9
110,tarjeta,50.0,2025-06-23 01:16:53,253,7
111,transferencia,50.0,2025-11-27 01:37:16,84,7
112,tarjeta,480.0,2025-07-28 20:08:31,143,9
113,efectivo,50.0,2025-08-18 12:51:15,133,7
114,transferencia,480.0,2025-03-18 03:19:16,168,9
115,efectivo,480.0,2024-11-17 04:59:47,47,9
116,transferencia,67.5,2025-08-03 22:55:06,16,2
117,efectivo,50.0,2024-12-21 07:18:44,90,7
118,transferencia,50.0,2025-01-05 00:10:22,15,7
119,tarjeta,384.0,2024-03-13 11:59:00,87,6
120,transferencia,67.5,2025-04-10 12:43:14,69,2
121,tarjeta,384.0,2024-10-27 21:06:24,84,6
122,efectivo,480.0,2025-01-06 05:56:37,134,9
123,transferencia,240.0,2025-12-07 02:33:45,294,3
124,tarjeta,67.5,2024-11-19 22:01:45,80,2
125,tarjeta,135.0,2025-08-12 10:57:21,252,8
126,transferencia,40.0,2024-08-11 18:49:10,31,4
127,tarjeta,25.0,2024-01-10 23:55:59,272,1
128,transferencia,40.0,2024-11-19 08:29:04,205,4
129,tarjeta,40.0,2024-09-02 22:32:33,99,4
130,tarjeta,50.0,2025-11-11 16:50:35,272,7
131,efectivo,50.0,2024-09-12 18:32:14,287,7
132,efectivo,40.0,2025-07-27 10:22:13,46,4
133,efectivo,135.0,2025-09-25 11:33:04,233,8
134,efectivo,384.0,2025-11-27 21:15:07,65,6
135,efectivo,50.0,2024-07-12 12:14:11,77,7
136,tarjeta,50.0,2024-12-08 08:45:56,108,7
137,tarjeta,384.0,2025-06-28 14:35:21,154,6
138,tarjeta,50.0,2025-03-23 14:46:20,291,7
139,transferencia,384.0,2024-10-10 07:32:37,265,6
140,efectivo,135.0,2025-01-24 10:44:27,148,8
141,efectivo,135.0,2025-09-16 14:26:37,80,8
142,efectivo,384.0,2024-09-10 13:55:13,54,6
143,efectivo,50.0,2025-09-06 02:00:10,299,7
144,transferencia,108.0,2024-01-16 07:48:30,248,5
145,efectivo,25.0,2024-12-27 16:09:50,230,1
146,tarjeta,67.5,2024-05-09 14:01:47,14,2
147,transferencia,480.0,2024-04-06 13:42:01,117,9
148,efectivo,135.0,2024-03-08 16:29:13,89,8
149,transferencia,108.0,2025-08-07 00:42:57,4,5
150,transferencia,25.0,2024-03-10 21:02:29,265,1
151,efectivo,25.0,2024-12-05 09:12:49,210,1
152,transferencia,135.0,2025-11-13 17:36:14,59,8
153,tarjeta,240.0,2024-03-13 01:31:54,30,3
154,efectivo,480.0,2025-07-14 11:42:17,163,9
155,tarjeta,67.5,2024-05-31 17:15:59,288,2
156,efectivo,480.0,2024-01-08 03:44:13,58,9
157,transferencia,480.0,2024-08-08 08:11:36,153,9
158,transferencia,67.5,2025-05-12 13:32:00,147,2
159,transferencia,384.0,2025-09-12 13:53:08,106,6
160,tarjeta,480.0,2025-04-27 11:54:46,112,9
161,efectivo,50.0,2024-09-24 16:36:51,211,7
162,transferencia,67.5,2024-01-27 19:13:37,149,2
163,tarjeta,50.0,2024-02-18 17:11:04,138,7
164,efectivo,50.0,2025-10-15 05:40:37,277,7
165,efectivo,480.0,2024-06-17 19:07:43,136,9
166,transferencia,25.0,2024-04-19 19:48:24,161,1
167,tarjeta,40.0,2024-08-03 08:53:08,23,4
168,transferencia,384.0,2024-04-30 04:12:28,131,6
169,transferencia,40.0,2024-10-19 17:45:09,107,4
170,transferencia,384.0,2024-05-02 20:12:36,53,6
171,transferencia,480.0,2025-02-27 02:22:05,276,9
172,efectivo,135.0,2024-05-19 09:49:14,28,8
173,transferencia,384.0,2024-02-20 19:14:31,143,6
174,transferencia,40.0,2024-01-12 14:21:16,103,4
175,transferencia,25.0,2024-06-26 10:30:49,114,1
176,efectivo,480.0,2024-12-30 06:12:17,99,9
177,tarjeta,67.5,2025-02-22 15:53:11,164,2
178,efectivo,480.0,2024-04-20 23:34:28,114,9
179,efectivo,67.5,2024-11-21 11:32:41,272,2
180,efectivo,67.5,2024-09-07 15:30:29,71,2
181,tarjeta,240.0,2025-12-21 20:10:32,43,3
182,efectivo,40.0,2025-01-13 07:36:42,281,4
183,transferencia,480.0,2025-01-01 21:51:59,279,9
184,tarjeta,25.0,2025-08-18 06:36:44,26,1
185,transferencia,50.0,2024-07-01 02:10:30,64,7
186,transferencia,384.0,2025-09-05 16:12:07,231,6
187,transferencia,135.0,2024-10-12 07:32:59,163,8
188,transferencia,240.0,2025-12-17 15:09:38,177,3
189,transferencia,480.0,2024-01-14 20:39:40,293,9
190,transferencia,50.0,2025-03-19 21:48:45,267,7
191,efectivo,384.0,2024-10-07 09:30:41,257,6
192,tarjeta,480.0,2025-08-15 06:20:39,171,9
193,tarjeta,67.5,2024-12-20 23:16:17,222,2
194,tarjeta,25.0,2024-05-15 10:26:17,194,1
195,efectivo,135.0,2025-05-18 23:25:22,225,8
196,efectivo,50.0,2025-04-05 18:54:27,165,7
197,transferencia,480.0,2025-07-02 13:01:07,194,9
198,efectivo,50.0,2025-02-23 02:08:00,192,7
199,tarjeta,240.0,2025-02-28 17:12:22,30,3
200,transferencia,50.0,2024-07-08 07:18:42,256,7
201,tarjeta,240.0,2025-10-23 01:14:27,238,3
202,transferencia,67.5,2025-02-19 18:25:23,149,2
203,tarjeta,50.0,2025-12-21 17:16:48,262,7
204,transferencia,135.0,2024-02-24 20:04:54,212,8
205,tarjeta,384.0,2024-03-07 08:00:27,177,6
206,transferencia,240.0,2025-08-26 08:57:55,183,3
207,efectivo,40.0,2025-11-09 03:48:39,89,4
208,tarjeta,40.0,2024-01-02 06:36:57,197,4
209,transferencia,135.0,2025-10-10 17:12:10,72,8
210,efectivo,135.0,2024-02-22 20:01:34,168,8
211,tarjeta,480.0,2025-10-29 08:41:55,177,9
212,efectivo,40.0,2024-08-26 04:52:16,12,4
213,transferencia,480.0,2025-05-15 06:32:22,271,9
214,tarjeta,50.0,2025-07-13 05:04:26,67,7
215,tarjeta,384.0,2025-08-26 16:04:41,195,6
216,tarjeta,240.0,2024-07-20 06:38:39,16,3
217,tarjeta,67.5,2025-12-26 06:21:14,235,2
218,efectivo,384.0,2025-03-06 06:47:56,45,6
219,transferencia,480.0,2024-03-27 01:23:04,40,9
220,tarjeta,135.0,2024-10-22 03:11:09,269,8
221,tarjeta,108.0,2025-11-21 20:50:27,259,5
222,transferencia,135.0,2025-03-05 01:51:56,113,8
223,efectivo,480.0,2025-11-02 03:38:59,215,9
224,transferencia,40.0,2025-06-26 11:32:21,217,4
225,transferencia,25.0,2024-06-20 03:28:34,38,1
226,efectivo,50.0,2024-03-15 11:32:12,273,7
227,transferencia,240.0,2025-06-09 23:50:55,45,3
228,tarjeta,25.0,2025-01-29 19:36:56,284,1
229,transferencia,40.0,2025-03-10 11:00:46,18,4
230,tarjeta,480.0,2025-12-05 10:35:47,165,9
231,efectivo,135.0,2024-01-31 19:21:03,113,8
232,tarjeta,240.0,2024-05-19 10:07:34,27,3
233,tarjeta,480.0,2024-11-08 12:18:11,245,9
234,tarjeta,240.0,2024-10-14 00:58:18,70,3
235,transferencia,384.0,2025-06-16 06:18:13,236,6
236,tarjeta,108.0,2024-01-21 10:20:14,260,5
237,efectivo,240.0,2024-08-09 12:51:59,125,3
238,efectivo,240.0,2025-05-06 14:11:53,9,3
239,tarjeta,67.5,2025-11-26 21:10:19,292,2
240,transferencia,40.0,2025-07-01 09:05:40,115,4
241,transferencia,135.0,2024-09-12 05:19:42,195,8
242,tarjeta,108.0,2025-05-16 03:42:09,45,5
243,efectivo,108.0,2024-01-09 07:39:37,195,5
244,transferencia,384.0,2024-02-17 03:25:55,153,6
245,efectivo,135.0,2024-08-09 09:37:12,78,8
246,efectivo,25.0,2025-06-14 15:48:43,102,1
247,efectivo,108.0,2025-10-20 15:06:35,138,5
248,tarjeta,108.0,2025-05-24 05:47:47,44,5
249,transferencia,240.0,2024-06-28 21:17:15,163,3
250,tarjeta,384.0,2025-04-09 04:29:34,149,6
251,tarjeta,135.0,2025-04-14 08:50:13,250,8
252,efectivo,240.0,2024-07-21 14:37:36,175,3
253,transferencia,480.0,2024-04-30 18:55:13,93,9
254,tarjeta,384.0,2025-04-21 15:22:36,117,6
255,transferencia,50.0,2025-07-20 20:59:24,266,7
256,efectivo,50.0,2024-04-19 12:33:56,17,7
257,transferencia,480.0,2025-11-06 02:53:28,164,9
258,transferencia,384.0,2025-10-27 18:47:32,33,6
259,transferencia,40.0,2024-08-01 02:30:58,105,4
260,transferencia,480.0,2025-09-06 18:18:59,106,9
261,efectivo,135.0,2024-11-24 01:26:24,99,8
262,efectivo,67.5,2024-12-12 04:42:18,115,2
263,transferencia,67.5,2025-09-03 13:01:27,141,2
264,efectivo,135.0,2024-05-07 17:55:58,19,8
265,efectivo,384.0,2025-05-21 06:52:57,288,6
266,efectivo,135.0,2025-04-18 23:46:04,255,8
267,tarjeta,40.0,2024-10-08 11:58:45,212,4
268,tarjeta,240.0,2025-08-20 06:23:08,218,3
269,efectivo,67.5,2024-02-22 07:28:01,260,2
270,tarjeta,135.0,2024-12-24 05:21:27,32,8
271,tarjeta,67.5,2025-04-16 18:01:51,54,2
272,tarjeta,67.5,2024-05-02 17:42:30,1,2
273,tarjeta,67.5,2025-04-29 05:34:38,9,2
274,efectivo,25.0,2024-09-22 17:12:02,208,1
275,tarjeta,108.0,2025-05-02 19:59:17,67,5
276,tarjeta,50.0,2024-03-02 21:38:56,99,7
277,transferencia,480.0,2025-09-08 21:48:51,109,9
278,efectivo,480.0,2025-11-12 11:47:42,178,9
279,tarjeta,108.0,2024-09-27 07:24:27,44,5
280,tarjeta,25.0,2024-03-22 06:48:30,100,1
281,transferencia,67.5,2025-06-20 23:26:28,96,2
282,transferencia,25.0,2024-06-01 13:02:18,159,1
283,transferencia,67.5,2024-05-23 01:40:02,20,2
284,tarjeta,25.0,2024-05-25 05:45:41,91,1
285,tarjeta,135.0,2024-06-12 05:44:35,280,8
286,efectivo,108.0,2024-09-14 12:07:41,210,5
287,tarjeta,40.0,2025-02-14 22:35:02,190,4
288,efectivo,135.0,2025-07-28 07:19:41,281,8
289,efectivo,135.0,2024-11-22 05:00:46,288,8
290,tarjeta,108.0,2024-08-25 08:59:21,202,5
291,tarjeta,135.0,2025-11-28 01:32:05,11,8
292,tarjeta,25.0,2025-06-05 16:59:26,65,1
293,efectivo,67.5,2025-09-24 01:34:31,218,2
294,transferencia,40.0,2024-04-19 17:33:14,212,4
295,efectivo,240.0,2024-11-18 04:39:42,201,3
296,transferencia,384.0,2025-03-19 11:30:14,220,6
297,efectivo,480.0,2025-05-26 16:22:50,105,9
298,transferencia,25.0,2025-08-05 16:52:45,30,1
299,transferencia,50.0,2024-10-08 18:59:57,93,7
300,transferencia,25.0,2024-11-05 19:30:52,270,1
301,tarjeta,108.0,2024-12-14 14:32:58,250,5
302,transferencia,480.0,2025-03-24 06:31:29,146,9
303,efectivo,67.5,2024-05-22 14:46:52,36,2
304,tarjeta,50.0,2025-04-14 15:01:20,56,7
305,transferencia,480.0,2025-05-26 20:53:13,239,9
306,transferencia,40.0,2025-10-01 04:45:51,181,4
307,efectivo,135.0,2025-02-09 19:00:48,144,8
308,transferencia,40.0,2025-05-07 06:32:15,194,4
309,transferencia,25.0,2024-11-10 12:59:58,147,1
310,efectivo,50.0,2024-04-29 16:33:45,262,7
311,tarjeta,480.0,2025-09-04 12:28:25,135,9
312,tarjeta,67.5,2024-10-19 19:02:11,229,2
313,transferencia,240.0,2025-10-05 00:29:38,299,3
314,tarjeta,240.0,2024-07-01 12:56:11,85,3
315,efectivo,108.0,2025-10-18 18:14:29,289,5
316,transferencia,50.0,2025-06-03 03:30:30,7,7
317,tarjeta,40.0,2025-11-29 02:49:08,274,4
318,tarjeta,25.0,2025-06-29 23:00:43,253,1
319,efectivo,40.0,2025-01-29 15:45:39,90,4
320,efectivo,50.0,2025-09-30 16:28:00,254,7
321,efectivo,67.5,2024-04-29 21:29:12,227,2
322,tarjeta,50.0,2024-06-11 06:45:15,289,7
323,efectivo,135.0,2025-12-08 13:09:48,26,8
324,tarjeta,135.0,2024-03-30 18:14:37,192,8
325,tarjeta,480.0,2025-04-18 13:52:50,170,9
326,efectivo,480.0,2025-02-04 06:09:11,154,9
327,tarjeta,25.0,2025-06-28 18:45:04,283,1
328,efectivo,50.0,2024-10-07 12:40:06,247,7
329,transferencia,384.0,2025-07-06 13:15:40,145,6
330,efectivo,40.0,2024-03-09 03:26:42,214,4
331,tarjeta,50.0,2024-06-25 00:10:36,81,7
332,transferencia,108.0,2025-04-10 07:52:11,34,5
333,efectivo,480.0,2024-08-14 16:18:10,56,9
334,efectivo,40.0,2024-09-03 21:26:52,114,4
335,tarjeta,108.0,2024-06-25 04:49:51,39,5
336,transferencia,50.0,2024-09-03 18:32:44,230,7
337,efectivo,240.0,2024-11-09 18:36:43,203,3
338,efectivo,67.5,2025-09-08 18:39:02,100,2
339,transferencia,480.0,2024-07-09 03:21:14,114,9
340,transferencia,40.0,2025-05-02 22:50:20,220,4
341,tarjeta,108.0,2024-05-29 20:46:28,212,5
342,tarjeta,40.0,2025-08-01 07:43:16,37,4
343,efectivo,480.0,2024-05-22 05:45:20,14,9
344,transferencia,108.0,2025-04-14 09:01:55,45,5
345,tarjeta,135.0,2024-03-03 01:23:29,62,8
346,tarjeta,50.0,2025-03-05 23:26:18,234,7
347,efectivo,240.0,2024-01-20 11:20:13,169,3
348,transferencia,108.0,2025-08-20 17:43:12,282,5
349,efectivo,240.0,2025-12-19 00:31:40,227,3
350,tarjeta,40.0,2025-03-30 00:24:49,7,4
351,transferencia,480.0,2024-06-10 16:32:49,277,9
352,transferencia,67.5,2024-01-11 00:25:45,270,2
353,tarjeta,480.0,2025-05-09 22:10:41,185,9
354,transferencia,50.0,2024-02-02 03:07:15,293,7
355,transferencia,67.5,2025-11-20 22:56:01,68,2
356,efectivo,108.0,2024-11-30 06:31:38,92,5
357,tarjeta,384.0,2024-09-20 06:00:00,56,6
358,efectivo,25.0,2025-02-25 04:07:10,56,1
359,transferencia,67.5,2024-01-25 22:05:06,128,2
360,tarjeta,108.0,2025-09-01 22:21:43,73,5
361,efectivo,384.0,2024-09-16 16:31:30,57,6
362,efectivo,25.0,2024-06-22 10:09:20,138,1
363,transferencia,25.0,2025-12-14 16:35:04,281,1
364,transferencia,384.0,2024-10-26 20:45:51,249,6
365,efectivo,25.0,2024-05-25 02:21:38,110,1
366,tarjeta,25.0,2024-05-01 07:40:53,139,1
367,tarjeta,240.0,2024-02-03 11:18:36,282,3
368,tarjeta,25.0,2024-07-02 00:04:49,274,1
369,tarjeta,25.0,2025-06-19 01:12:45,207,1
370,transferencia,480.0,2024-01-24 13:11:59,9,9
371,efectivo,50.0,2024-03-15 07:08:11,231,7
372,transferencia,50.0,2025-10-09 12:30:30,297,7
373,efectivo,384.0,2025-09-05 20:45:10,212,6
374,tarjeta,67.5,2025-03-19 21:43:26,294,2
375,efectivo,40.0,2025-03-25 19:46:54,237,4
376,transferencia,480.0,2025-07-06 07:12:07,272,9
377,transferencia,135.0,2024-01-21 15:34:35,280,8
378,transferencia,480.0,2024-08-25 10:08:47,71,9
379,tarjeta,480.0,2024-11-24 15:57:17,242,9
380,efectivo,67.5,2024-04-02 00:24:53,43,2
381,transferencia,135.0,2024-02-29 04:26:58,122,8
382,transferencia,108.0,2024-02-11 07:22:17,5,5
383,transferencia,240.0,2025-10-19 14:15:30,27,3
384,efectivo,40.0,2025-09-15 06:30:25,224,4
385,efectivo,240.0,2025-01-27 09:14:01,54,3
386,transferencia,480.0,2024-10-05 18:29:36,53,9
387,efectivo,40.0,2024-12-16 06:59:54,155,4
388,tarjeta,67.5,2025-10-26 19:56:29,86,2
389,tarjeta,384.0,2024-04-25 04:23:32,130,6
390,transferencia,40.0,2025-11-28 23:39:27,269,4
391,transferencia,240.0,2024-10-26 11:38:34,195,3
392,transferencia,480.0,2024-06-15 21:25:44,294,9
393,tarjeta,40.0,2024-02-10 06:12:21,78,4
394,efectivo,67.5,2024-12-05 02:22:47,150,2
395,efectivo,135.0,2025-05-12 02:17:49,223,8
396,efectivo,480.0,2025-02-11 10:28:16,269,9
397,transferencia,50.0,2025-07-06 10:26:32,92,7
398,efectivo,50.0,2024-07-16 07:24:26,112,7
399,efectivo,240.0,2024-11-09 09:17:12,47,3
400,efectivo,480.0,2024-03-08 21:35:43,58,9
401,tarjeta,50.0,2025-08-26 13:48:34,135,7
402,efectivo,50.0,2024-12-12 10:00:54,125,7
403,transferencia,108.0,2025-05-27 20:46:58,223,5
404,tarjeta,40.0,2025-11-28 21:49:44,136,4
405,efectivo,108.0,2024-02-15 14:54:44,167,5
406,efectivo,67.5,2025-08-28 19:51:34,32,2
407,tarjeta,384.0,2025-05-04 09:10:33,136,6
408,tarjeta,384.0,2025-11-09 00:08:08,58,6
409,transferencia,135.0,2024-05-29 13:28:45,275,8
410,tarjeta,240.0,2025-04-19 09:53:27,207,3
411,transferencia,50.0,2024-11-11 13:28:43,224,7
412,tarjeta,25.0,2024-01-12 18:39:28,210,1
413,transferencia,240.0,2025-06-20 12:54:19,93,3
414,tarjeta,240.0,2024-08-01 00:54:31,105,3
415,efectivo,40.0,2025-06-17 23:39:50,231,4
416,efectivo,67.5,2024-03-19 05:40:51,30,2
417,transferencia,50.0,2024-10-19 00:51:03,240,7
418,efectivo,384.0,2025-12-20 02:19:35,261,6
419,efectivo,135.0,2025-04-04 13:06:54,89,8
420,efectivo,240.0,2024-07-10 19:49:17,72,3
421,tarjeta,135.0,2024-06-08 18:22:38,198,8
422,tarjeta,50.0,2025-10-12 23:39:29,69,7
423,efectivo,384.0,2024-09-05 01:22:09,279,6
424,tarjeta,50.0,2024-04-04 12:55:15,153,7
425,transferencia,25.0,2024-09-24 13:58:41,220,1
426,transferencia,240.0,2024-09-27 08:53:03,130,3
427,efectivo,25.0,2025-06-24 19:58:44,245,1
428,tarjeta,384.0,2024-02-16 19:31:54,110,6
429,tarjeta,240.0,2024-03-15 13:10:44,128,3
430,transferencia,135.0,2024-10-02 04:37:11,4,8
431,transferencia,25.0,2025-10-06 00:37:20,76,1
432,transferencia,108.0,2025-10-11 12:01:13,100,5
433,transferencia,67.5,2024-07-18 04:24:38,280,2
434,transferencia,40.0,2024-02-23 12:18:09,99,4
435,efectivo,25.0,2024-10-08 01:37:22,79,1
436,efectivo,480.0,2025-04-13 07:44:23,167,9
437,transferencia,240.0,2025-05-18 09:10:24,126,3
438,efectivo,384.0,2024-11-29 05:44:23,94,6
439,transferencia,135.0,2024-03-03 16:33:41,128,8
440,tarjeta,50.0,2025-06-06 19:09:53,180,7
441,tarjeta,25.0,2025-01-06 03:43:49,137,1
442,transferencia,384.0,2025-10-07 05:13:53,155,6
443,tarjeta,108.0,2025-05-24 00:19:11,192,5
444,efectivo,384.0,2024-03-29 00:00:55,74,6
445,transferencia,240.0,2024-11-26 23:40:20,116,3
446,transferencia,25.0,2025-06-26 17:39:52,143,1
447,tarjeta,50.0,2025-08-03 20:12:56,71,7
448,efectivo,135.0,2025-07-30 10:27:36,97,8
449,efectivo,384.0,2024-09-29 20:37:29,213,6
450,tarjeta,50.0,2024-06-12 12:49:11,91,7
451,efectivo,50.0,2024-04-21 20:43:19,46,7
452,tarjeta,108.0,2025-10-24 04:34:02,123,5
453,transferencia,240.0,2025-10-22 14:34:46,108,3
454,transferencia,384.0,2024-01-17 16:19:18,109,6
455,efectivo,384.0,2025-07-23 20:57:24,170,6
456,tarjeta,108.0,2025-10-08 07:27:56,284,5
457,efectivo,240.0,2024-08-11 16:10:24,117,3
458,transferencia,480.0,2024-03-19 22:08:09,126,9
459,tarjeta,108.0,2025-11-24 00:11:32,54,5
460,efectivo,108.0,2025-01-19 01:11:20,135,5
461,transferencia,135.0,2024-12-04 17:46:22,276,8
462,efectivo,108.0,2025-06-25 08:45:14,205,5
463,efectivo,40.0,2025-07-13 12:02:37,144,4
464,tarjeta,240.0,2025-07-13 04:18:44,101,3
465,transferencia,25.0,2025-09-01 16:24:15,105,1
466,transferencia,67.5,2025-12-16 18:33:12,202,2
467,tarjeta,67.5,2024-03-26 05:15:49,234,2
468,transferencia,50.0,2024-02-08 04:02:10,159,7
469,transferencia,384.0,2024-12-19 17:15:05,155,6
470,efectivo,25.0,2024-06-17 16:22:17,126,1
471,efectivo,108.0,2025-11-09 15:57:11,58,5
472,efectivo,480.0,2025-05-25 19:22:29,91,9
473,transferencia,480.0,2025-05-23 21:45:15,93,9
474,tarjeta,25.0,2024-10-03 08:45:12,107,1
475,tarjeta,25.0,2024-10-25 08:49:21,168,1
476,transferencia,40.0,2025-07-01 11:27:55,284,4
477,tarjeta,40.0,2025-02-01 19:24:55,74,4
478,tarjeta,108.0,2024-08-04 09:35:14,160,5
479,efectivo,40.0,2024-09-09 20:15:35,1,4
480,tarjeta,240.0,2025-10-22 11:33:39,288,3
481,efectivo,384.0,2024-02-26 01:51:08,293,6
482,efectivo,384.0,2025-02-03 07:36:36,200,6
483,tarjeta,384.0,2025-06-04 23:31:02,298,6
484,transferencia,40.0,2024-01-08 20:03:33,45,4
485,transferencia,25.0,2024-02-04 09:17:35,104,1
486,tarjeta,480.0,2024-11-28 12:20:12,36,9
487,efectivo,240.0,2024-06-30 03:24:41,141,3
488,tarjeta,50.0,2024-09-08 14:58:54,10,7
489,transferencia,25.0,2024-06-06 06:06:15,257,1
490,efectivo,384.0,2025-01-12 03:14:15,253,6
491,tarjeta,25.0,2025-10-06 23:43:53,38,1
492,efectivo,50.0,2024-10-03 18:53:31,119,7
